Data;maxima_real;maxima_prev_1;maxima_prev_3;maxima_prev_5;precipitacao
01jan;30;28;30;28;0
02jan;25;29;26;27;0
03jan;31;32;30;28;0
04jan;33;29;32;30;0
05jan;29;30;35;26;0
06jan;36;35;36;35;0,26
07jan;36;35;38;34;0
08jan;37;32;35;34;0,01
09jan;32;27;33;33;0,21
10jan;28;25;34;35;0,02
11jan;43;41;37;38;0
12jan;37;30;37;37;0
13jan;36;33;31;36;0
14jan;37;40;44;36;0
15jan;34;34;38;45;0,02
16jan;41;38;39;36;0,05
17jan;40;33;37;33;0
18jan;33;35;37;34;0
19jan;35;40;39;36;0,01
20jan;33;27;28;33;0,02
21jan;31;27;30;31;0,21
22jan;33;30;31;30;0,08
23jan;35;37;40;38;0
24jan;38;38;40;39;0
25jan;37;29;31;33;0,01
26jan;31;36;32;36;0
27jan;38;34;36;37;0,01
28jan;35;30;36;35;0
29jan;33;36;39;40;0
30jan;39;41;42;36;0
31jan;46;42;42;40;0
