MES;DIA;TELE;IBOV
Jan;2;34,99;43,19
;4;32,09;39,68
;5;32,56;40,37
;6;30,31;38,27
;9;28,91;36,28
;10;26,1;32,7
;11;28,25;34,99
;12;30,41;38,41
;13;32;41,04
;16;31,25;40,56
;17;32,37;42,1
;18;30,87;40,79
;19;28,63;38,09
;20;29,56;38,62
;23;28,44;37,58
;24;29,28;38,4
;26;29,84;39,27
;27;28,35;37,84
;30;27,32;35,81
;31;30,41;38,85
Fev;1;31,34;39,9
;2;30,78;38,98
;3;31,44;39,44
;6;30,59;38,3
;7;28,63;36,37
;8;27,6;35,56
;9;26,38;34,01
;10;25,26;33,08
;13;24,98;32,95
;14;24,56;31,92
;15;23,02;30,69
;16;20,96;28,64
;17;22,45;30,23
;20;21,61;29,62
;21;19,74;27,93
;22;20,49;28,72
;23;23,02;32,17
;24;23,48;32,71
;26;27,65;35,37
;27;28,8;36,61
;28;29,21;37,15
;29;28,62;36,78
Mar;2;20,96;29,89
;6;20,4;28,67
;7;18,43;26,16
;8;16,84;23,63
;9;15,06;21,38
;10;21,05;26,86
;13;20,77;26,71
;14;23,3;30,17
;15;21,99;29,39
;16;23,75;31,42
;17;22,08;29,81
;20;21,14;28,7
;21;22,45;30,06
;22;22,36;30,04
;23;23,67;31,46
;24;25,63;33,61
;27;25,73;33,72
;28;24,61;32,56
;29;24,51;31,98
;30;22,13;31,26
;31;22,64;29,79
Abr;3;22,08;28,94
;4;24,33;31,25
;5;24,98;31,8
;6;25,54;32,54
;7;25,35;31,92
;10;24,79;31,14
;11;24,23;30,18
;12;23,95;30,21
;17;24,89;31,13
;18;25,82;31,94
;19;27,23;33,31
;20;27,79;33,84
;24;29;35,13
;25;30,13;36,99
;26;30,69;38,26
;27;31,06;38,51
;28;30,86;38,14
Mai;2;31,23;38,62
;3;31,99;39,76
;4;32,41;40,44
;5;31,71;40,08
;8;30,86;39,14
;9;32,23;40,65
;10;31,9;40,5
;11;30,62;39,51
;12;30,95;39,98
;15;29,91;38,94
;16;29,63;38,35
;17;31,14;39,64
;18;31,23;40,08
;19;30,81;39,5
;22;31,99;40,34
;23;32,56;40,88
;24;33,31;41
;25;32,37;40,19
;26;30,27;39,05
;29;30,91;38,96
;30;28,71;37,07
;31;28,98;37,21
Jun;1;29,53;37,74
;2;30,91;39,66
;5;31,5;40,63
;6;30,36;39,33
;7;29,07;38,08
;8;29,01;38,18
;9;27,51;36,71
;12;28,16;37,05
;13;29,42;37,89
;14;27,88;36,65
;16;28,48;37,18
;19;28,57;36,96
;20;27,15;35,77
;21;27,88;36,32
;22;27,7;35,99
;23;27,74;35,86
