Ano;PIBCC;Populacao;PIBBR
1990;0,7711;146592579;9,93
1991;3,7683;149094266;52,56
1992;43,1304;151546843;565,32
1993;1044,3491;153985576;12636,18
1994;28296,067;156430949;309206,65
1995;33807,4896;158874963;616070,87
1996;42253,4741;161323169;742861,15
1997;49720,5198;163779827;830628,18
1998;53328,6091;166252088;865995,83
1999;52228,0559;168753552;927838,21
2000;56364;171279882;1021648
2001;59486;173821934;1118613
2002;67219;176391015;1273129
2003;68935;178985306;1470614
2004;84868;181586030;1666258
2005;95562,436;184184262;1851521,97
2006;108731,7022;186770562;1999626,95
